iso_code,country,2022_last_updated,2020_population,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,425,869,669","1,424,929,781",147/sq_km,0,17.88%,1
IND,India,"1,419,419,807","1,396,387,127",431/sq_km,0.0068,17.77%,2
USA,United States,"338,655,730","335,942,003",36/sq_km,0.0038,4.24%,3
IDN,Indonesia,"275,911,001","271,857,970",145/sq_km,0.0064,3.45%,4
PAK,Pakistan,"236,890,187","227,196,741",267/sq_km,0.0191,2.96%,5
NGA,Nigeria,"219,750,671","208,327,405",237/sq_km,0.0241,2.74%,6
BRA,Brazil,"215,539,801","213,196,304",25/sq_km,0.0046,2.70%,7
BGD,Bangladesh,"171,597,810","167,420,951","1,160/sq_km",0.0108,2.15%,8
RUS,Russia,"144,704,438","145,617,329",8/sq_km,-0.0027,1.81%,9
MEX,Mexico,"127,726,286","125,998,302",65/sq_km,0.0063,1.60%,10
JPN,Japan,"123,800,541","125,244,761",328/sq_km,-0.0053,1.55%,11
ETH,Ethiopia,"124,100,764","117,190,911",112/sq_km,0.0257,1.55%,12
PHL,Philippines,"115,972,222","112,190,977",338/sq_km,0.0147,1.45%,13
EGY,Egypt,"111,387,000","107,465,134",111/sq_km,0.0158,1.39%,14
VNM,Vietnam,"98,346,376","96,648,685",296/sq_km,0.0074,1.23%,16
IRN,Iran,"88,686,589","87,290,193",54/sq_km,0.0071,1.11%,17
TUR,Turkey,"85,456,717","84,135,428",109/sq_km,0.0067,1.07%,18
DEU,Germany,"83,343,468","83,328,988",233/sq_km,-0.0005,1.05%,19
THA,Thailand,"71,723,321","71,475,664",140/sq_km,0.0013,0.90%,20
GBR,United Kingdom,"67,562,025","67,059,474",278/sq_km,0.0034,0.85%,21
TZA,Tanzania,"65,941,225","61,704,518",69/sq_km,0.03,0.82%,22
FRA,France,"64,657,146","64,480,053",117/sq_km,0.0015,0.81%,23
ZAF,South Africa,"60,008,262","58,801,927",49/sq_km,0.0084,0.75%,24
ITA,Italy,"58,999,517","59,500,579",196/sq_km,-0.0034,0.74%,25
MMR,Myanmar,"54,272,634","53,423,198",80/sq_km,0.0071,0.68%,26
KEN,Kenya,"54,271,712","51,985,780",93/sq_km,0.0193,0.68%,27
COL,Colombia,"51,913,418","50,930,662",45/sq_km,0.0069,0.65%,28
KOR,South Korea,"51,809,639","51,844,690",517/sq_km,-0.0003,0.65%,29
ESP,Spain,"47,550,599","47,363,807",94/sq_km,0.0015,0.60%,30
